会社,題名,説明
DeAgostini,Honda NSX-R, 世界を驚かせたピュアスポーツカーが史上初の1/8スケールで蘇る 週刊『Honda NSX-R』創刊  ■NSX-Rの美しいフォルムを初の1/8スケールで徹底再現 外観のデザインはもちろんのこと、外からは見えないエンジンルームやボディ下面も確認することで、ディテールをブラッシュアップ。1/8スケールならではのリアリティと重厚感あふれるダイキャストモデルが完成します。  ■リアリティを追求した光や音の多彩なギミック 左右のドアはもちろんのこと、リアのガラスハッチやエンジンフードなど、各部が開閉可能。ヘッドライトやテールライトが点灯するだけでなく、ターンシグナルライトやストップライトが灯り、エンジン音が鳴るなど、心くすぐるギミックが満載。  ■創刊号は特典DVDが付属 本誌シリーズガイドで取り上げたギミックを動画でも紹介。完成モデルのライト点灯の様子などをご確認いただけます。また、現存車オーナーの協力のもと、貴重な実車の走行シーンを収録。走りの性能を研ぎ澄ませたNSX-Rの迫力の走行シーンをお楽しみいただけます。 
DeAgostini,刺しゅうで楽しむ スヌーピー&フレンズ, スヌーピーと仲間たちが、かわいい刺しゅうになって登場！隔週刊 『刺しゅうで楽しむ スヌーピー＆フレンズ』 創刊  世界中で愛されるコミック 『ピーナッツ』 に登場するスヌーピーと仲間たちの世界が、かわいい刺しゅうになって登場。「DMC」の刺しゅう糸、塗り絵のようにステッチするパンチニードル、図案の上から刺せるマジックペーパーなどを使って、初心者から上級者まで手づくりの刺しゅうを楽しめるシリーズです。  ■「四季のタペストリー」と「かわいい手作り小物」を両方楽しめる スヌーピーとピーナッツ・ギャングなどが登場する四季のタペストリーを作る「ロングプロジェクト」と、バッグやポーチなど、すぐに使えるスヌーピーのオリジナルグッズを作る「ショートプロジェクト」のふたつを毎号少しずつ進めていきます。  ■パンチニードルなどのキットも付属 針や刺しゅう糸はもちろん、パンチニードルをはじめとするツールが付属するので、買ったその日からシリーズを楽しめます。  ■～シリーズ全号かけて完成～ 一針一針ていねいに作る、四季のタペストリー 春夏秋冬それぞれのタペストリーを作り上げたあと、最後に「PEANUTS」のロゴ入りミニタペストリーを作ったら、１年中スヌーピーを楽しめるステキな作品が完成します。 
DeAgostini,たのしいムーミンキルト, ムーミン谷の仲間たちと楽しむ《材料キット付き》ソーイング 毎号届くキットを使って人気のムーミンキャラクターが並ぶインテリアカバーと、日常生活で使える雑貨小物を作っていくソーイングシリーズ。当シリーズのためのオリジナルデザインで、インテリアカバーはシリーズをとおして少しずつ縫い進め、雑貨小物は2～3号で一つずつ完成します。  オリジナルデザインのインテリアカバー＆雑貨小物 毎号届くキットを使って、人気のムーミンキャラクターが並ぶインテリアカバーと、日常生活で使える雑貨小物を作っていくソーイングシリーズです。すべてが当シリーズのためのオリジナルデザイン！キットに付いてくる布もオリジナルプリントが含まれており、お店では買えない特別感を感じられます。  必要な材料は毎号キットとして付いてくるので、特別な道具がなくても買ったその日から始められます。インテリアカバーの各ピースには、図案を印刷済みの為、自分でトレースする必要がないので失敗を防げます。また、タフティング仕上げなので通常のキルティングより短時間かつ簡単に完成させられます。  オリジナルプリント生地も充実！ 本シリーズオリジナルの、ムーミン・北欧柄プリントが付いてきます。  道具＆サポート付きで、初心者も簡単！ 
DeAgostini,ウルトラホーク1号," 地球を守ったあの銀翼の勇姿が[全長87.5cm]のビッグスケールでよみがえる！週刊『ウルトラホーク1号』創刊
特撮ドラマの金字塔『ウルトラセブン』に登場する、ウルトラ警備隊の誇る多目的戦闘機「ウルトラホーク1号」が完成するマガジンシリーズ、週刊『ウルトラホーク1号』。

■全長42メートルの多目的戦闘機「ウルトラホーク1号」を全長 87.5cm、全幅 50cm、全高 19.5cmの1/48のビッグスケールで徹底再現、マーキングやモールドまで完成した状態で提供。

■3機分離＋合体や内部構造を再現し、光と音のギミックも搭載！プロップモデルを再現したマーキングやα号エンジン、ドッキング装置、マグネチック7といった内部構造も付属。

■細部までこだわった再現性
・α号コックピット
・β号コックピット
・γ号コックピット
・点灯ギミック
・フィギュアも付属

■1/48スケールの地球防衛軍特装車 『ポインター』 《全長約11cm》 も提供。

■4つの章のマガジンも充実のコンテンツ
①ウルトラホーク シークレット リポート
②地球防衛軍 装備リスト
③組み立てガイド
④ウルトラセブン プロダクションノート

■創刊号～第15号までのご購読で、オリジナルデザインのウルトラ警備隊ロゴグッズ2点セットを読者全員にプレゼント "
DeAgostini,仮面ライダー DVDコレクション,"仮面ライダー生誕50周年！平成を彩った『クウガ』から『ディケイド』までが集結！
2021年4月に生誕50周年を迎えた「仮面ライダー」作品の中から、ミレニアムイヤーに復活を果たした平成ライダーの10作品をDVD付きマガジン化した、隔週刊『仮面ライダーDVDコレクション 平成編』。

本コレクションでは、平成を彩った「クウガ」から「ディケイド」までの10作品を収録。マガジンでは毎号付属のDVDに収録された5話の解説など、4つの章で平成ライダーの魅力を振り返ります。

「クウガ」から「ディケイド」までの平成ライダーをDVDとマガジンに完全収録
隔週刊『仮面ライダーDVDコレクション 平成編』では、初代平成仮面ライダーの「仮面ライダークウガ」から、平成仮面ライダー10周年プロジェクト作品、「仮面ライダー ディケイド」までの、10作品を毎号約5話ずつDVDに収録。マガジンではここでしか手に入らない特製キャラクターシールが付属するほか、各話の解説、制作時の裏話など、平成仮面ライダーの魅力を特集します。

【収録作品(刊行順)】　クウガ／アギト／龍騎／555 ／剣／響鬼／カブト／電王／キバ／ディケイド"
DeAgostini,スプリンタートレノ AE86,"走り屋たちの熱き伝説“ハチロクトレノ”をつくる　週刊『スプリンタートレノ AE86』創刊
“ハチロク”の愛称で人気を誇る「TOYOTA スプリンタートレノ AE86」（前期型）が完成する週刊『スプリンタートレノ AE86』。稀代の名車を、1/8ビッグスケールのノーマル仕様で徹底再現。

■稀少な1983年前期型
中古車市場で高値で取引されるスプリンタートレノの前期型GTアペックスを再現

■実車そのままの構造＆パーツ設計
リトラクタブルヘッドランプはポップアップと格納が可能

■光とサウンドのギミックを搭載
・唸る!ハチロクトレノ
・リトラクタブルヘッドランプ
・ブレーキ灯などが点灯
・前後のウインカーはリレー音とともに点滅
・コックピットを模した専用リモコン、ステアリングは取り外しも可能

■ディテールとギミックを忠実に再現
・4A-GEU型エンジンとエンジンルーム
・ハイグレードGTアペックスのタイヤとホイールを装着
・内装はハチロクトレノのディテールが満載
・シャシー＆ボディサスペンション機構も再現

■読者全員プレゼント
・カーボンプレート
・特製キーホルダー

■カスタムパーツ（別売り）も充実
・RSワタナベ エイトスポーク カスタムホイールセット
・カーボン調ブラック フロントカスタマイズセット
・レーサータイプ フルバケット＆ステアリングセット"
DeAgostini,ビッグスケールF1コレクション,"F1(TM)オフィシャルライセンス　歴代F1の伝説が1/24スケールのダイキャストモデルで蘇る！隔週刊『ビッグスケール F1(TM)コレクション』

F1の栄光の歴史にその名を刻んだ名車たち全80種を、1/24ビッグスケールでリアルに再現したダイキャスト製・塗装済み完成モデルでコレクションすることができる、隔週刊『ビッグスケール F1コレクション』。各モデルには専用ディスプレイ台座が付属し、飾りながらコレクションすることができます。

■1/24スケールのダイキャスト製・塗装済み完成モデルを毎号１台ずつお届け！
毎号1台付属するF1マシンの模型は台座を含めると全長約25cmある迫力の1/24サイズ。塗装済み完成モデルで、リアルなカラーリングやディティールもオリジナルモデルを忠実に再現しています。 創刊号にはアイルトン・セナが搭乗した「マクラーレンMP4/4」、第2号にはミハエル・シューマッハが駆った「フェラーリF2002」など、⻩⾦時代を築き伝説となった不動の人気を誇るマシンや、時代を象徴する名車など全80種をラインアップ。

■ビッグスケール・ダイキャストの重量感
今回登場する隔週刊『ビッグスケール F1コレクション』は、主流であった1/43スケールから1/24スケールにビッグサイズ化。2000年代の最新マシンも登場するF1ファン待望のカーコレクションシリーズです。"
DeAgostini,航空自衛隊 F-2戦闘機をつくる," 実機取材で忠実に再現! 世界初の1/24ビッグスケール・ダイキャスト製モデル 週刊『航空自衛隊 F-2戦闘機をつくる』創刊

「バイパーゼロ」の異名を持ち、日本の防空最前線を翔ける航空自衛隊の戦闘機「F-2」。週刊『航空自衛隊 F-2戦闘機をつくる』毎号のパーツを集め組み上げると、現用機の徹底取材をもとに再現した可動や灯火などギミック満載の国産マルチロールファイター「F-2」 が、1/24のビッグスケールで完成します。

■設計・構造・コーションマークすべてにこだわりぬいた世界初の大型スケールモデル 築城基地第8飛行隊の協力により、現用F-2(F-2A最終納入号機、13-8564機)の細部を総力取材し完全再現。コントローラーで操作できるダイナミックなギミックも満載です。

■実機取材で忠実に再現! こだわりのディティール
●パイロット気分を楽しめる特製コントローラー付属。
実機収録のリアルサウンドで各種ギミックと連動した音が楽しめる!
●コントローラーで操作できるダイナミックなギミック満載
キャノピー・ランディングギア・フラップ&フラッペロン・スタビレーター・ラダー
●実機の仕様を完全再現!ライブ感満載の灯火ギミック
コクピット・バルカン砲・エンジン点火/アフターバーナー
●F-2の歴代ウエポン類が勢揃い

■創刊号は特典DVD付属 "
DeAgostini,Honda NSX," 世界を驚かせたピュアスポーツカーが史上初の1/8スケールで蘇る 週刊『Honda NSX-R』創刊

■NSX-Rの美しいフォルムを初の1/8スケールで徹底再現
外観のデザインはもちろんのこと、外からは見えないエンジンルームやボディ下面も確認することで、ディテールをブラッシュアップ。1/8スケールならではのリアリティと重厚感あふれるダイキャストモデルが完成します。

■リアリティを追求した光や音の多彩なギミック
左右のドアはもちろんのこと、リアのガラスハッチやエンジンフードなど、各部が開閉可能。ヘッドライトやテールライトが点灯するだけでなく、ターンシグナルライトやストップライトが灯り、エンジン音が鳴るなど、心くすぐるギミックが満載。

■創刊号は特典DVDが付属
本誌シリーズガイドで取り上げたギミックを動画でも紹介。完成モデルのライト点灯の様子などをご確認いただけます。また、現存車オーナーの協力のもと、貴重な実車の走行シーンを収録。走りの性能を研ぎ澄ませたNSX-Rの迫力の走行シーンをお楽しみいただけます。 "
DeAgostini,日本の島," ～島を知り、日本を知る。～世界遺産から上陸困難な島まで、日本の島を愉しむビジュアルマガジンシリーズ　週刊『日本の島』 創刊

自然・歴史・文化・くらしなど島に関するあらゆる情報を網羅するビジュアルマガジンシリーズ、週刊『日本の島』。東西南北約3,000kmに広がるバラエティに富んだ1,750の美しい島々の姿をお届けします。

■自然・歴史・文化・くらしなど島に関するあらゆる情報を網羅
世界遺産に登録された島から、上陸困難な奇岩の島まで、美しい島の姿を様々な角度から掘り下げていきます。知っているようで実は意外と知らない、私たちの「島国ニッポン」。じっくりと島を知れば、日本の真の姿が見えてきます。 日本に存在する有人島は400島以上、無人島は6,400島あまり。本シリーズでは日本列島を8つのエリアに分け、全有人島および周辺無人島を解説します。 創刊号に付属する専用特製リングバインダーにエリアごとにファイリングしていくことで、日本の島の一大図鑑が完成。島を知り、日本を知る。壮大なロマンと発見に満ち溢れた待望の新シリーズです。 "
DeAgostini,護衛艦いずもをつくる," 圧倒的な精度で完全再現! 全長約100cmの大迫力のスケールモデルを組み立てる!
ダイキャスト製、1/250スケールで再現。さまざまな可動ギミックが組み込まれており、模型を組み立てるだけではなくオペレーションまで楽しむことができます。

■1/250 スケール全長約 100cm 他にはない迫力のサイズ!
護衛艦「いずも」をこれまでにない、圧倒的なスケールで再現しました。ボディフレームと船底構成パーツはダイキャスト製で、 艦橋や甲板をはじめ、内部の格納庫や多目的区画はもちろん、艦尾の旗竿などの細部までこだわった造形です。スケールは、1/250サイズで全長は99.2cm。フルハルモデルで大迫力のサイズ感です。

■ダイナミックな可動ギミック! 護衛艦「いずも」があなたの指揮で動き出す
甲板艦橋の灯火、エレベーターの昇降、サウンド再生など実艦さながらのギミックを盛りだくさんに組み込みました。専用のコントローラーを使って操艦気分を味わうこともできます。

■付属の艦載装備品で「いずも」オペレーションを楽しむ!
シリーズでは、「いずも」のオペレーションが再現できる艦載装備品がついてきます。自分で自由に配置することで、思いのままに想定したシーン演出を楽しむことができます。 "
DeAgostini,JAL旅客機コレクション,"JAL歴代の航空機が1/400 統一スケールのダイキャスト製モデルで揃うかつてないコレクション!

JAL製作協力のもと、待望のシリーズが誕生!

戦後初の航空会社として設立されたJAL。長きにわたる歴史のなかで活躍した数々の名機を、
JALおよび航空機メーカー監修の精密なダイキャストモデルで再現します。
ビジュアル満載のマガジンは、JALと専門家の協力のもと豊富な情報を掲載します。"
