会社,題名,説明
DeAgostini,バレエDVDコレクション,"わかりやすいビジュアルマガジンと美しいDVDで、バレエの魅力に酔いしれる。 『隔週刊 
バレエDVDコレクション』は世界のバレエの名作・名演を紹介するDVDコレクション・シリーズです。ダンサーの磨き抜かれた踊りから表情・演出までDVDならではの映像を「全幕完全収録」で堪能できます。"
DeAgostini,ホンダ CB750FOUR,"1969年。当時最高の技術の粋を集約し、ホンダが世界のバイク市場に向けて発表した「Honda DREAM CB750 
FOUR（K0）」。大排気量4気筒エンジンの咆哮と、その圧倒的な存在感に全世界が魅了された歴史的名車。 ホンダオフィシャルライセンス公認の本シリーズは、「ナナハン」の代名詞となった「CB750 
FOUR」の中でも、特に貴重な初期型モデル「K0」を組み立てるパーツ付きマガジンです。 
CB750FOURを象徴する4気筒エンジンの造形、K0シリーズ初期生産車のみに採用された砂型クランクケースの質感など実車のディテールを余すところなく実現。 
実車より採取した迫力あるエンジンサウンドやレプリカキー、ライトの点灯なども再現し細部まで徹底的にこだわった本誌オリジナルモデルを実車に迫る大迫力の1/4スケールで完全再現！"
DeAgostini,ハマーH1 ラジコンカー,軍用車の流れを汲むハマーH1は、その特徴を色濃く残し、一般的なSUVとは一線を画した風 格で、ファン垂涎の的となっています。そのH1を、骨太な外観・スピード・走破力まで実 車さながらにラジオコントロールカーで再現！ H1の構造を再確認しながら、ひとつひとつ部品を組み立てていく楽しさ。造り上げたH1を 見る・飾る満足感。そして実際にオフロードへ出て走らせる喜び。 週刊「ハマー H1ラジコンカー」はRC HUMMERオーナーならではの醍醐味を存分に味わえる、 本格派クラフトマガジンシリーズです。 毎号付いてくるパーツを組み立て、1/8スケール『HUMMER H1』のエンジンRCカーを作る本 シリーズのモデルは、RCカーのトップブランド「京商（KYOSHO）」が本シリーズのためだ けに企画・製作した限定モデル。実車の迫力を再現したダイナミックなボディ、リアルな 駆動系を再現することに成功した。
DeAgostini,戦国武将データファイル,"『週刊 
戦国武将データファイル』は応仁の乱から始まる日本の戦国時代において天下の覇権を巡って戦いを繰り広げた名代の戦国武将たちを網羅したマガジンシリーズです。 
戦国時代に活躍した300名以上にのぼる武将たちの「生き様」「戦国武将が拠点とした城」「乱世の時代に展開された合戦」という戦国時代を語る上で欠かすことのできない3つの要素をそれぞれの詳細なデータと共に徹底解説。 
その他、戦国時代の暮らしや文化などにも触れていきます。全号揃えると、武将・城・合戦・風俗といった戦国時代の全てを網羅した完全データファイルが完成します。"
DeAgostini,航空母艦 赤城を作る,"空母機動部隊の旗艦であり、日本初の大型空母として知られる「航空母艦赤城」。太平洋戦争初期、欧米列強国の艦艇に対して破竹の連勝を収めたことで「世界最強」と恐れられ、数々の輝かしい戦歴を残し最強空母艦隊の礎を築きました。 『週刊 航空母艦 
赤城を作る』は、毎号付いてくるパーツを組み立てて、赤城の勇姿を250分の1スケールで再現するパーツ付クラフトマガジンです。マガジンでは赤城を様々な角度から解説するほか、世界の空母や世界の艦載機などを貴重な写真やイラストで解説します。模型は格納庫やエレベーターなどの甲板下の構造を再現するほか、艦上機 
３機種 全21機も製作します。木製パーツと金属パーツを組み立てれば、細部までこだわった、全長1ｍ超の迫力ある模型が完成します。"
DeAgostini,野鳥の世界,"『週刊 
野鳥の世界』は、バードウォッチングや野鳥を楽しむための情報を、美しく、躍動感あふれる写真やイラストとともに紹介するマガジンシリーズです。野鳥の生態や行動、習性、見分け方、観察できる場所を丁寧に解説するほか、写真撮影の方法、絵の描き方、バードカービングのつくり方など、野鳥に関する楽しみ方も満載。 
従来の野鳥観察の書籍や図鑑などとは異なり、美しい写真をふんだんに使用した誌面構成で、初心者からエキスパートまで、バードウォッチングや野鳥に興味がある方なら誰でもお楽しみ頂ける内容です。"
DeAgostini,スパイ大作戦 DVDコレクション,TVドラマ『スパイ大作戦』は、1966年からアメリカのCBSネットワークで7シーズンにわたっ て放送され、日本でも1967年から放送が開始されました。本部から指令された「遂行不可 能と思われる作戦＝ミッション・インポッシブルに、頭脳と体力の限りを尽くして立ち向 かう選ばれし有能スパイたちの活躍を描く本シリーズは、世界中を熱狂させ放送開始から 40年以上を経た現在も多くのファンを魅了し続けている大ヒット・スパイドラマです。数 々の変装シーンや小道具、誰もが聞いたことがあるサスペンス感あふれるテーマ曲など、 魅力となつかしさが満載です。 「スパイ大作戦」全７シーズン171話を完全網羅！ 「週刊 スパイ大作戦DVDコレクション」は、7シーズン171話のエピソードを毎号2話ずつ （創刊号のみ3話）収録したDVDが付属。ブックレットとDVDで余すことなく『スパイ大作戦』 の世界を楽しめます。
DeAgostini,宇宙戦艦ヤマト オフィシャル・ファクトファイル,本シリーズは、1974年にTV放映された「宇宙戦艦ヤマト」から、2009年12月12日より公開さ れた、劇場用アニメーション映画「宇宙戦艦ヤマト・復活篇」まで、全ての作品を徹底網 羅したオフィシャルファクトファイルです。戦艦、人物、歴史などの基本情報はもちろん、 本シリーズのためだけに描き下したイラスト、貴重な資料や図解を交えてオールカラーの 詳細な情報で徹底解説。昔からのヤマトファンはもちろん、新作『復活篇』から初めて知っ たファンも楽しめる、オフィシャル情報満載のマガジンシリーズです。 毎号、本シリーズのために描き下したオリジナルイラストを見開きの特大サイズで掲載。 本誌のためだけに書き下ろされたイラストはファン垂涎の一品です。シートごとに切り離 して付属のバインダーに綴じれば、オリジナルのビジュアル大百科が完成します。
DeAgostini,日本のうた こころの歌 改訂版,"『隔週刊 日本のうた 
こころの歌』は、童謡・唱歌・抒情歌など、故郷への想いを綴った歌や、美しい自然と四季折々の歌、スコットランド・ロシア民謡といった日本人に親しまれてきた海外の歌まで、毎号7～8曲ずつ収録したCDが付録。CDジャケットは、谷内六郎氏の絵で飾られています。 
本誌では、収録曲の歌詞や楽譜、作詞・作曲家の情報、名曲誕生のエピソードや当時の時代背景など、美しい日本の風景写真とともにビジュアル満載の誌面で紹介します。目と耳で懐かしの名曲を楽しむことができるCD付きマガジンシリーズです。"
DeAgostini,エヴァンゲリオン・クロニクル 新訂版,GAINAX完全監修、エヴァ専用公式ガイドブック！エヴァンゲリオンの世界を様々な角度からエヴァの魅力を余すところなく徹底解説するマガジンシリーズです。本誌では、重厚なストーリー、EVAや登場人物、使徒はもちろん、装備、戦闘における戦術、NERV本部など様々な情報を、豊富なビジュアルと詳細な資料で解説。 ＴＶシリーズや1997年公開の旧劇場版を主軸に、爆発的な再ブームを起こした「新劇場版」の情報も31号以後掲載。 従来のファンだけでなく、新劇場版からの新たなファンも本シリーズを読み解くことで、エヴァの世界の隅々まで堪能することが出来ます。
DeAgostini,フェラーリF2007ラジコンカー,"『週刊フェラーリ F2007 ラジコンカー』で組み立てるフェラーリ「F2007」は、2007年のF1シーンでワールドチャンピオンに輝いたマシン。 
1/7スケールで再現した本格的なエンジンラジオコントロールカーで、RCモデルのトップブランドである「京商(KYOSHO)」が本誌のためにだけ企画・製作した限定モデルだ。信頼性の高い”走り”のメカニズムと、1/7スケールゆえの精巧な”美”を兼ね備えた、究極のRCカーを自分の手で組み立て、走らせよう！"
DeAgostini,江戸,"「週刊 
江戸」は、大河ドラマや歴史小説などでもなじみの深い「江戸時代」に焦点を当てたマガジンシリーズです。7つの章からなる本誌は、歴史上の主な出来事の解説に加え、当時の諸国事情、庶民の暮らしなど、様々な視点から江戸時代を楽しめる構成です。歴史好きにはもちろんのこと、大河ドラマなどで歴史に興味を持った方にもおすすめの歴史マガジンです。"
DeAgostini,そーなんだ！歴史編,「週刊 そーなんだ！ 歴史編」では、日本史と世界史それぞれの知っておきたいポイントや、学校 では教えてくれない歴史の知られざる一面を紹介。見やすく分かりやすいオールカラーのページや、見開きの特大イラストなど、 文字中心の教科書とはちがい、子どもの興味がどんどん広がる“ビジュアルいっぱい”の歴史マガジン”です。
DeAgostini,松本清張,本シリーズは、昭和の文豪、松本清張とその名作の魅力を再発見できるシリーズです。第1号から第12号では、厳選した作品を毎号1つ取り上げ、その解説はもちろん、作品のバックボーンとなった清張の貴重な取材メモや関係者の証言、写真やイラストなどを通じ、ビジュアル豊かに徹底紹介していきます。また、最終号の13号では清張の全作品の中から、これだけは読んでおきたい『清張名作選』をお届けします。
DeAgostini,東宝特撮映画DVDコレクション,"1954年公開の「ゴジラ」は見たこともない特殊撮影とドラマチックで重厚なストーリーで当時の観客たちの心を捉えました。その後次々と公開された東宝特撮映画は、映画黄金期を代表する娯楽の王道として卓越したイマジネーションが散りばめられたものでした。 隔週刊「東宝特撮映画 DVD 
コレクション」はゴジラシリーズをはじめとする東宝特撮映画の傑作群をDVDで楽しみながら、その魅力をマガジンで紐解いていく、DVD付きマガジンです。 
本シリーズでは、東宝が世界に誇った円谷英二監督が余すことなく特撮技術を披露した昭和30年代、40年代の作品を中心に、新時代のSF大作、ゴジラシリーズ、一大スペクタクル巨編など、東宝特撮映画の代表作の65作品をラインナップしました。"
DeAgostini,DVDオペラ・コレクション,"本シリーズはオペラの本場ヨーロッパを中心に、世界中から集められた名演をDVDに収録したコレクション・シリーズです。DVDに登場するのは、一流の歌手、指揮者、オーケストラばかり。もちろん、世界屈指の才能を発揮する演出家の手による舞台です。 
マガジンは演目やそれぞれの曲を一層深く、広く理解する詳細な解説つきです。作曲家の人生やその他の作品についてのガイドや、世界の名オペラハウス、音楽祭の紹介記事も充実しています。 シリーズを楽しむうちに、いつの間にかオペラ通に。生の舞台の鑑賞が、ますます楽しくなります。"
DeAgostini,零戦をつくる,太平洋戦争前半の快進撃を支え、日本の主力機として最も輝いていた時代の零戦、『零式艦上戦闘機二一型』。徹底した機体の軽量化と空力的洗練が施され、当時の日本の技術の粋を集めて作られたその勇姿を、かつてない究極の金属製スケールモデルとして完全再現。在りし日の零戦の姿をあなたの手で蘇らせてください。
DeAgostini,Xファイル DVDコレクション 改訂版,『Xファイル』は1993年から全米で放映された超常現象を題材にした人気ドラマです。アメ リカ連邦捜査局（FBI）に保管された「The X-Files」（超常現象が関係しているとされる 未解決事件簿）にもとづき、モルダーとスカリーというふたりの特別捜査官が事件解明に 立ち向かいます。UFO、超能力、心霊現象、未確認生物など、世界中で起きたさまざまな超 常現象に初めて科学的なメスを入れた番組として『Xファイル』はたちまち世界の人気番組 となり、日本でも1995年テレビ朝日系列で全国放送されました。第1シーズンから第9シー ズンまで全201作品が制作され、今でも多くの超常現象ファンに支持されています。 本シリーズでは、1993年から2002年までアメリカFOX TVで放映された全9シーズン201話の 壮大なストーリーを毎号4話ずつDVDに収録し、シーズンごとにTV未公開の特典映像も収録。 この特典映像には、各シーズンの真相、製作総指揮者クリス・カーターによるエピソード 解説、メイキング映像集などを収録しております。
DeAgostini,ウルトラマン オフィシャルデータファイル,『週刊ウルトラマンオフィシャルデータファイル』は、1966年にテレビ放映が開始された 「ウルトラQ」から、最新作の「大決戦！超ウルトラ8兄弟」まで、テレビ版・劇場版を問 わず全てのウルトラシリーズの作品を、オールカラーで紹介するビジュアルマガジンシリー ズです。 本誌には、歴代シリーズのウルトラマンたちの写真がふんだんに掲載され、古くからのウル トラマンファンはもちろん、最新作を見ている小さなお子様まで、年齢を問わず親子一緒 にも楽しめます。
DeAgostini,ディズニー・ドリーム・ファイル,"世界中の子どもに、そして大人にも、夢と希望、愛や冒険の喜びを提供し続けてきたウォルト・ディズニー。 
『週刊ディズニー・ドリーム・ファイル』は、世界中で愛されているキャラクターたちの詳細なデータや、アニメーション制作の裏側、世界のディズニーランドの情報まで、あらゆる情報を網羅した、ディズニーを愛するあなたのための、夢のビジュアル大事典（エンサイクロペディア）です。"
DeAgostini,わが家で和食改訂版,"数々の料理番組をレギュラーに持ち、料理本の執筆も手がける土井善晴氏が監修を手掛けるレシピマガジンシリーズです。 
和食の基本からひと手間かけた和食まで、食材の力を上手に引き出す新しい調理法やプロならではのポイントを、豊富な写真とともに分かりやすく紹介。難しいと思われがちな和食を家庭でも簡単に作れるように、オールカラーの写真を満載したステップバイステップ方式で分かりやすく解説しています。2005年に創刊された週刊「わが家で和食」の改訂版です。"
DeAgostini,CSI:DVDコレクション,全世界で高視聴率を記録し続けるTVドラマ「CSI：科学捜査班」から、毎号2話を収録したDVDと、DVDに収録されたエピソードや、科学捜査に関連する様々な情報を紹介するシリーズです。ドラマのエピソード解説だけではなく、捜査の裏側や犯罪心理など現場の科学捜査の実態に迫と共に、より深い「CSI」の世界を堪能できます。
DeAgostini,安土城をつくる,"天下統一を目前に控えた織田信長が、当時の建築技術と贅を尽くして築きあげた安土城。 日本の城の中でもっとも豪華であったと言われ、後世の城建築にも多大な影響を残しました。 しかし完成わずか3年後、信長が本能寺の変で没するとまもなく、放火により炎上し、この世から姿を消し、幻の城となったのです。 
この『安土城をつくる』では、安土城跡地の発掘調査や当時の文献から復元された緻密な設計図をもとに、90分の1スケールの模型として再現。毎号付いてくる木製パーツで、安土城天主を組み立てていきます。 外観だけでなく、城の構造・内部の全ての部屋、さらには柱や梁、垂木の1本1本に至るまで、詳細に復元された木製の本格模型です。"
DeAgostini,天体模型・太陽系を作る,最新の学説に基づいた正確な太陽系の運行を示す天体模型（太陽系儀ともいう）のパーツと、太陽系の惑星や宇宙科学を紹介するマガジンがセットになったシリーズです。毎号付属のパーツを組み立てることにより、金属製の天体模型（全高約33cm、全幅約38cm）が完成。内蔵の電気モーターで、太陽系惑星の公転をリアルに表現します。緻密な設計と精密加工されたパーツ構成により、惑星の運行を精密に表現できるこの模型は、金属加工芸術家「ルイス・カルメルス」によって設計されたモデルを基に、2006年国際天文学連合（IAU）決議を反映して製作した“デアゴスティーニオリジナル”モデルです。マガジンでは全体を7つの章に分け、模型の組み立て方や使い方を説明するほか、太陽系の解説や宇宙科学史、また探査機の物語や星座の紹介など、宇宙に関する話題を豊富な写真や資料とともに紹介します。
DeAgostini,『東映時代劇 傑作ＤＶＤコレクション,"東映時代劇の傑作をDVDとマガジンで！ 隔週刊『東映時代劇 
傑作DVDコレクション』は、面白さを前面に打ち出し、人々の一大娯楽として昭和三十年代にブームを巻き起こした東映時代劇映画の傑作を、DVDで楽しみながら、その魅力をマガジンで紐解いていく、DVD付きマガジンシリーズです。"
DeAgostini,落語百選ＤＶＤコレクション,江戸時代から明治時代にかけて創作された古典落語をマガジンで解説し、DVDで演目そのものを見ることができるまったく新しい落語マガジンシリーズです。DVDには、このシリーズのためだけに演じられた実力派真打によるオリジナルライブ映像を（毎号2演目ずつ）収録。本誌では、毎号収録されているDVDの演目のストーリーや周辺情報などを様々な側面から詳細に解説するほか、ちょっとした薀蓄が分かる「何でも落語講座」や「芸能かわら版」、落語史にその名を残す稀代の噺家のエピソードをふんだんに盛り込んだ「噺家列伝」など『落語』に関する情報が、貴重な写真や資料と共に満載です。
DeAgostini,そーなんだ！3訂版,「週刊 そーなんだ！」シリーズは、ふだんの生活の中でいだく素朴な疑問(なぜ？)を 取り上げ、マンガやイラストをたくさん使いながら分かりやすく解き明かしていきます。 思わず「そーなんだ！」と納得してしまう、楽しいマガジンシリーズです。子供はもちろん、 大人もいっしょに楽しめる、面白い情報がたくさんのっています。 「週刊 そーなんだ！」は、「犬の鼻がいいのはナゼ？」「宇宙っていつごろ誕生したの？」 といった、さまざまな科学に関する不思議を解き明かします。毎号、科学・法則、発明・ 機械、からだ・医学、自然・気象、宇宙・地球、動物・植物といった日常生活に関する科 学の情報を紹介します。 6つのジャンルに分け、それぞれワンポイント・チェック、人物ファイル、ミニ知識の4つ のコラムとともにていねいに解説します。 【取り扱う6つのジャンル】 科学・法則 / 発明・機械 / からだ・医学 / 自然・気象 / 宇宙・地球 / 動物・植物
DeAgostini,そーなんだ！社会編 改訂版,"「首相と大統領はどう違うの？」「日曜日はどうして休みなの？」といった、世の中の仕組みに関する素朴な疑問を、マンガとコラムで丁寧に分かり易く解き明かします。毎号、6つの章の中から5つずつ取り上げます。さらに、“ワンポイント･チェック”、“ミニ知識”、“キーワード”、“人物ファイル”の4つのコラムが挿入され、各章を理解し、世の中を理解する上で必要なポイントをきっちりと抑えていきます。 
"
DeAgostini,スターゲイト DVDコレクション,「隔週刊 スターゲイト DVDコレクション」は、「スターゲイト・SG-1」の 10シリーズ（全214話）と、スピンオフシリーズである「スターゲイト アトランティス」の3シリーズ（全60話）を毎号3話ずつ、放送順に収録します。 （創刊号は特別に5話収録・創刊号のみDVD2枚）また、本編のみならず、 主要なキャストのインタビューや、ドラマの舞台裏といった貴重な映像などを 収録した特典映像も付いてきます。 毎号揃えれば「スターゲイト」の全てが揃うDVDコレクションが完成します。
DeAgostini,フェラーリグランツーリズモ,"毎号付属するパーツを組み立てることで、「エンツォ・フェラーリ」の1/10スケールのダイキャストモデル（全長:470mm、重量:4.9kg）が完成します。「エンツォ・フェラーリ」はフェラーリ社 
創始者の名を冠し、創業55周年を記念して2002年に世界限定399台のみ製造された希少なモデルです。このダイキャストモデルは、その魅力的かつ独特なフォルムはもちろんのこと、内装やエンジンルームなど細部まで忠実に再現された、フェラーリ社公認の“デアゴスティーニ限定”モデルです。マガジンでは、毎号、歴代のフェラーリ・グランツーリズモ（公道を走れるスポーツカー）を一台取り上げ、開発者たちのインタビューや詳細な技術データなどを、未公開の貴重な写真や資料とともに、高級車カタログ並みのハイクオリティーな作りで紹介します。"
DeAgostini,仮面ライダーオフィシャルデータファイル,1971年にテレビ放映を開始した、第1作「仮面ライダー」をはじめとする所謂「昭和ライダー」から、「仮面ライダークウガ」からスタートし現在も放送が続いている「平成ライダー」まで、テレビ版・劇場版を問わず全ての仮面ライダーシリーズを、豊富なビジュアルとともに紹介するマガジンシリーズです。創刊号に付属の特製リングバインダーにファイリングすれば、仮面ライダー大百科が完成します。昭和から平成までの全仮面ライダーを網羅したシリーズが誕生します。
DeAgostini,クール・ジャズ・コレクション,ジャズを聴く気分 それは楽しいとき リラックスしたいとき 落ち込んだとき スペシャルなと… どんなシーンにもスッと溶け込んでくれる それが JAZZ 初めて聴いた曲なのに懐かしい 何回も聴いたのに新しい そんな魔法のような魅力が 聴くものを虜にしてしまう 堅苦しいセオリーなんていらない ただジャズメンの奏でる音に 身をまかせればいい いつもの生活に JAZZ というエッセンスを加えるだけでいい 幅広いスタイルを網羅し 選りすぐった名演を集めた「The Cool Jazz Collection」 世界のメジャーレーベルの音源でお届けします 【50名を超すアーティストの名演をマガジンとCDで完全コレクション】 マガジンでは毎号１人のアーティストを取り上げ、その生き様とジャズの歴史をひも解き ます。そして付属のCDでは、毎号取り上げたアーティストが残した多くの楽曲から選りす ぐりの5～7曲を収録、マガジンの解説とともに楽しんでいただけます。全号のバインダー でコレクションすることで、ジャズ100年の歴史と代表的なジャズ・アーティストの全てを 網羅できます。
DeAgostini,世界名作劇場DVDセレクション,昭和50年から22年間にわたって放送され、多くのファンから愛され続けたアニメ「世界名作劇場」。その中でも特に人気の3作品『フランダースの犬』、『母をたずねて三千里』、『あらいぐまラスカル』が隔週刊の「DVDセレクション」になって登場します。毎号付属のDVDには各作品、1話ずつが収録。毎号、3作品を1度に楽しめます。マガジンは、DVDに収録されている各作品のあらすじを、アニメの画面や写真などのビジュアルを使って絵本感覚で分かりやすく解説。さらに、作品にまつわるおもしろトピックスや、今なお読み継がれている児童文学作品の紹介など、親子で一緒に楽しめるシリーズです。
DeAgostini,科学忍者隊ガッチャマンDVDコレクション,"昭和47年に大人気を博したTVアニメ「科学忍者隊 
ガッチャマン」のシリーズ3部作・全205話を毎号3話ずつ収録したDVDと、読み応えたっぷりのマガジンがセットになったシリーズです。リアルなメカデザイン、ドラマチックなストーリー展開、工夫を凝らした映像表現などで1972年の放送開始時はもとより、その後の日本のアニメーション界に大きな足跡を残し、海外でも高い評価を獲得している「科学忍者隊ガッチャマン」を完全網羅した貴重なＤＶＤコレクションです。"
DeAgostini,パティシェと作るケーキアンドデザート,国内外で活躍する有名パティシエ約50名のケーキ＆デザートのオリジナルレシピを取り上げ、一流パティシエたちのとっておきのテクニックが習得できるマガジンです。レシピ以外にも様々な情報を網羅し、お菓子作り初歩の方から、本格的なお菓子作りを目指す人まで幅広く楽しめるシリーズです。
DeAgostini,マイ・ミュージック・スタジオ,読み込んでいます...
DeAgostini,歴史のミステリー,誰もが知っている史実から、いまだに解明されていない謎に満ちた出来事まで、歴史に潜む数々の謎を取り上げ、これまで通説とされてきた歴史認識を再検証し、歴史の真相を読み解くマガジンシリーズ。全号揃えると歴史に隠された謎や疑問を網羅した、これまでの歴史観を新たにする歴史ミステリー大百科が完成します。
DeAgostini,地球の鉱物 コレクション,『隔週刊地球の鉱物コレクション』には、世界中の様々な自然の鉱物・鉱石が毎号付いてきます。 創刊号は、紫水晶とも呼ばれ、2月の誕生石としても知られる「アメシスト」。シリーズでは、鉱物コレクターを魅了する「自然の芸術品」が続々登場します。 また、『特製コレクションボックス』にディスプレイすれば、他では決して手に入らない自分だけのオリジナル鉱物コレクションが出来上がります。
DeAgostini,ハーレーダビッドソン,"世界中に熱狂的なファンを抱えるハーレーダビッドソン。ウィスコンシン州ミルウォーキーで産声をあげた小さな工場から、世界的な巨大メーカーへと成長した同社の歩みは、そのままアメリカのバイク史にも重なります。数々の名車の魅力、そしてハーレーダビッドソンにまつわる素晴らしい世界を、本シリーズのマガジンでは4章構成でわかりやすく、詳しく紹介します。毎号のパーツを集めて組み立てれば、迫力ある1/4スケールの“FAT 
BOY”が完成します。"
DeAgostini,刑事コロンボDVDコレクション,"1968年の初登場から約10年にわたってヒットした『刑事コロンボ』。その独特のキャラクターと斬新なストーリー展開は、今なお世界中で愛されています。『刑事コロンボ 
DVD 
コレクション』は、シリーズ全45作品を毎号1話ずつ完全ラインナップ。TV放映時にカットされていたシーンを加えた完全版DVDと、ストーリー解説や知られざる裏話が満載のマガジンで『刑事コロンボ』の世界を心ゆくまでお楽しみください。"
DeAgostini,昭和タイムズ,昭和――それは、日本という国が、かつてない劇的な歴史を刻んだ日々であり、今を生きる私たちの、すべてにおける礎となった時代でもあります。戦争、復興、高度経済成長……それぞれの社会を彩った、64年間にわたる、さまざまな事件、商品、世相、流行。こうした出来事をひとつひとつ振り返ると、激動と呼ばれた時代が、あなたの懐かしい日々とともに鮮やかに甦ることでしょう。
DeAgostini,マイディズニーランド,読み込んでいます...
DeAgostini,蒸気機関車Ｃ62を作る,付属のパーツを組みたてると、わが国の蒸気機関車の中でも絶大な人気を誇り、圧倒的なパワーと力感に満ちた独特のプロポーションを備えた旅客機関車「C62型2号機」のスケールモデルが完成します。完成サイズは1/24スケール（全長95cm×高さ16.5cm×幅11.2cm）。細部に至るまで忠実に再現した真鍮主体の金属パーツで組立てる「C62」のモデルは、迫力と重厚感に満ちあふれたデアゴスティーニ限定の特別製です。基本設計は、著名なモータージャーナリストでモデラーのいのうえ・こーいち氏が手掛け、除煙板に輝く「つばめマーク」から煙室扉のハンドルの細部にいたるまで、忠実かつ精巧に再現しています。完成後は、ヘッドライトが点灯し、汽笛などのサウンドが鳴り響き、専用の台座の上では動輪も回転します。
DeAgostini,ハリーポッターチェスコレクション,"本誌の付録で付いてくるチェスの駒は、映画「ハリー・ポッターと賢者の石」の１シーンで登場する魔法のチェスを再現。ハリーたちが使っていたのと同じチェス駒は、魔法で動いたり、大きな音を立てたり、映画のように砕け散ったり、しかけがいっぱい！チェスのやり方を知らなくても、わかりやすく説明しているから、すぐにゲームを楽しめます。初心者にもわかりやすく初歩からより高度な戦略まで順に解説。チェスの達人「チェスマスター」をめざせ!! 
"
DeAgostini,ピーターラビットコレクション,「ピーターラビット」をはじめ、可愛いらしいキャラクターや魅力的なシーンが描かれたテーブルウェアを毎号付属します。テーブルウェアは、陶磁器の中でも高級感が溢れる色彩と滑らかな光沢を持った“ボーンチャイナ製”です。また、本シリーズのために特別に作られたデアゴスティーニ限定モデルのコレクションも登場。様々な用途に活躍してくれる「お皿」、「ティーカップ」、「フォーク＆ナイフ」などを集めることで、普段の食卓を彩るだけでなく、インテリアとしてお部屋に飾ることも出来るお洒落なテーブルウェアコレクションです。マガジンでは、原作者“ビアトリクス・ポター”の生い立ちや絵本作家への道のりといったエピソードに加え、幼少時代の写真、スケッチブック、直筆の手紙など当時の貴重な資料も徹底的に網羅します。また、『ピーターラビットのおはなし』を含め、絵本シリーズ全24話のストーリーを毎号、数回に分けて完全収録します。
DeAgostini,ファイティングエアクラフトDVDコレクション,鮮やかな3Dコンピューターグラフィックや大迫力の実写映像を駆使したDVDと、パイロット自らが語る、臨場感あふれるビジュアルマガジンで、ファンの記憶に永遠に残る“大空の戦士”たちの魅力を徹底解説します。
DeAgostini,ヨーロピアンパレス,"毎号付属のパーツを組み上げると、中世ヨーロッパの邸宅を連想させる壮麗で豪華なドールハウスが完成します。サイズは、1/12スケール（高さ91cm×幅87cm×奥行42cm）にも及びます。デザインは、フランスを中心にヨーロッパ各国で流行した装飾美術のスタイルである“ロココ様式”を基調とし、優雅で流れるような曲線を主体にした外観です。さらに、リビングやベッドルームなどの室内をはじめ、椅子やテーブルなどの家具にいたるまで、ミニチュアの世界では難しいとされており繊細なロココ様式のデザインを忠実に再現。さらに素材は主に天然の木材を仕様することで存在感をより一層リアルに表現。中世ヨーロッパの貴族達が優雅な世界が1/12スケールのドールハウスで甦ります。 
マガジンは、パーツの組み立て方法を、プロセスを追った写真付きで解説します。さらに、様々な様式のドールハウス、家具や装飾品などの情報も紹介します。マガジンを揃え、別売りのバインダーに綴じれば、全てのドールハウスファンも満足するオリジナル大百科事典が完成します。"
DeAgostini,古代文明ビジュアルファイル,"「世界四大文明」をはじめ、世界各地に点在した40以上もの古代文明や王朝を、遺跡や伝説から多角的な視点でビジュアル豊かに、その真の姿をひもとくマガジンシリーズです。世界を8つの大陸に分類し、「ローマ帝国」や「エジプト王国」などの各エリアに生れた約40の王朝や文明を、異なるアプローチの6つのテーマで紹介します。 
各テーマでは、近年の科学的な解析・文献研究に基づいて、各エリアの歴史、代表的な遺跡や伝説の人物の実像などを文明の盛衰とともに紹介。「アクロポリス」「インカ用水路」などの古代遺跡の全貌をCGやイラストを使って細部までリアルに再現し、当時の建築の目的や手段、現代の発掘方法や年代の測定方法も併せて解説します。さらに、古代人の日常生活や継承されている思想や習俗などを含めて、当時の世界観を詳解します。それぞれのテーマでは、大きく見やすい写真や図版が網羅。古代文明への“理解”と“ロマン”がより一層深まります。"
DeAgostini,アーティストジャパン,『選び抜かれた日本絵画の巨匠60人。魅力あふれる豪華コレクション。』葛飾北斎、横山大観、尾形光琳、雪舟、東山魁夷、竹久夢ニ、東洲斎写楽等、毎号特製バインダーに綴じこんでいけば、絵画や版画を気軽に楽しめる美術全集ができあがります。毎号一人の日本人画家を取り上げ、その代表作を紹介すると共に、その生涯や作品が生まれた背景、その画家が生きた時代などを豊富なビジュアルとわかりやすい解説で紹介します。
DeAgostini,しあわせ♪クッキング改訂版,"作って食べて、心も体も健康になる服部流レシピを、毎号ご紹介していきます。料理の基本、栄養バランス、食材をおいしく使う効果的な方法まで、料理をしながら身に付く新家庭料理百科シリーズです。2003年に創刊された『週刊 
しあわせ♪クッキング』の改訂版です。"
DeAgostini,ロボザック,"自分で組み立てる２足歩行ロボット「RZ-1」！『週刊 
ロボザック』では、驚きの運動性能をもつヒューマノイドロボットが簡単に制作できます！入門用アクションデータを使いこなしたら、好きな動作を自分でカスタマイズしよう。ロボット工学やプログラミングの勉強もできてプレゼントにも最適です。"
DeAgostini,ミレニアムＤＶＤコレクション,"1996年にアメリカFOXテレビで放映された猟期犯罪を扱ったサイコサスペンスドラマ。新たな世紀の到来に、漠然とした不安が世界を覆うなか、次々と発生する猟奇犯罪の数々。 
――事件の真相は、人間自身の心の暗部にある――現実に起きた犯罪をモチーフに、さまざまな事件の陰に潜む人間の心の闇を解き明かしながら、世紀末思想の深淵に迫る『ミレニアム』ワールドをDVDとマガジンでお楽しみください。"
