タイトル,タイトルURL1,画像URL
"
            
            
              
              マイ3Dプリンター
            
              
              2015年01月05日創刊
            
              
              2018年11月01日完結
            
            ",https://deagostini.jp/post/migrm-519,https://deagostini.jp/f/resources_news/archive/migrm_image_MTP_legend_item_img.jpg
"
            
            
              
              東映任侠映画傑作DVDコレクション
            
              
              2014年12月26日創刊
            
              
              2019年07月30日完結
            
            ",https://deagostini.jp/post/migrm-537,https://deagostini.jp/f/resources_news/archive/migrm_image_TND_legend_item_img.jpg
"
            
            
              
              仮面ライダー オフィシャルパーフェクトファイル
            
              
              2014年09月25日創刊
            
              
              2018年05月29日完結
            
            ",https://deagostini.jp/post/migrm-528,https://deagostini.jp/f/resources_news/archive/migrm_image_KPF_legend_item_img.jpg
"
            
            
              
              大映特撮映画DVDコレクション
            
              
              2014年09月02日創刊
            
              
              2016年12月06日完結
            
            ",https://deagostini.jp/post/migrm-500,https://deagostini.jp/f/resources_news/archive/migrm_image_DET_legend_item_img.jpg
"
            
            
              
              北斗の拳 DVDコレクション
            
              
              2014年05月27日創刊
            
              
              2016年08月02日完結
            
            ",https://deagostini.jp/post/migrm-509,https://deagostini.jp/f/resources_news/archive/migrm_image_HKD_legend_item_img.jpg
"
            
            
              
              スタートレック・スターシップコレクション
            
              
              2014年05月20日創刊
            
              
              2020年06月23日完結
            
            ",https://deagostini.jp/post/migrm-542,https://deagostini.jp/f/resources_news/archive/migrm_image_STS_legend_item_img.jpg
"
            
            
              
              ジャッキー・チェン DVD コレクション
            
              
              2014年03月04日創刊
            
              
              2016年08月30日完結
            
            ",https://deagostini.jp/post/migrm-497,https://deagostini.jp/f/resources_news/archive/migrm_image_JCD_legend_item_img.jpg
"
            
            
              
              日本の神社
            
              
              2014年01月28日創刊
            
              
              2016年05月24日完結
            
            ",https://deagostini.jp/post/migrm-521,https://deagostini.jp/f/resources_news/archive/migrm_image_JIN_legend_item_img.jpg
"
            
            
              
              東宝・新東宝戦争映画DVD コレクション
            
              
              2014年01月21日創刊
            
              
              2018年09月30日完結
            
            ",https://deagostini.jp/post/migrm-498,https://deagostini.jp/f/resources_news/archive/migrm_image_TSD_legend_item_img.jpg
"
            
            
              
              日本の名車
            
              
              2014年01月04日創刊
            
              
              2018年03月31日完結
            
            ",https://deagostini.jp/post/migrm-492,https://deagostini.jp/f/resources_news/archive/migrm_image_NNM_legend_item_img.jpg
